2024-07-23T16:24:27.039490Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210758,"p":"3474.04","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.039512Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210759,"p":"3474.08","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.039519Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210760,"p":"3474.08","q":"0.100","X":"MARKET","m":false}}
2024-07-23T16:24:27.039538Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210761,"p":"3474.12","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.039559Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210762,"p":"3474.12","q":"0.171","X":"MARKET","m":false}}
2024-07-23T16:24:27.039580Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210763,"p":"3474.13","q":"1.440","X":"MARKET","m":false}}
2024-07-23T16:24:27.039602Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210764,"p":"3474.14","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:24:27.039622Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210765,"p":"3474.20","q":"0.124","X":"MARKET","m":false}}
2024-07-23T16:24:27.039643Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210766,"p":"3474.21","q":"1.200","X":"MARKET","m":false}}
2024-07-23T16:24:27.039665Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210767,"p":"3474.21","q":"1.400","X":"MARKET","m":false}}
2024-07-23T16:24:27.039685Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210768,"p":"3474.21","q":"2.500","X":"MARKET","m":false}}
2024-07-23T16:24:27.039727Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210769,"p":"3474.23","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:24:27.039759Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210770,"p":"3474.24","q":"0.028","X":"MARKET","m":false}}
2024-07-23T16:24:27.039791Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210771,"p":"3474.26","q":"0.229","X":"MARKET","m":false}}
2024-07-23T16:24:27.039822Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210772,"p":"3474.26","q":"1.459","X":"MARKET","m":false}}
2024-07-23T16:24:27.039855Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210773,"p":"3474.26","q":"0.534","X":"MARKET","m":false}}
2024-07-23T16:24:27.039888Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210774,"p":"3474.27","q":"1.440","X":"MARKET","m":false}}
2024-07-23T16:24:27.039920Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210775,"p":"3474.28","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.039951Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210776,"p":"3474.29","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:24:27.039988Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210777,"p":"3474.30","q":"0.577","X":"MARKET","m":false}}
2024-07-23T16:24:27.040020Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210778,"p":"3474.30","q":"0.577","X":"MARKET","m":false}}
2024-07-23T16:24:27.040052Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210779,"p":"3474.30","q":"0.577","X":"MARKET","m":false}}
2024-07-23T16:24:27.040074Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210780,"p":"3474.31","q":"2.500","X":"MARKET","m":false}}
2024-07-23T16:24:27.040094Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210781,"p":"3474.31","q":"1.400","X":"MARKET","m":false}}
2024-07-23T16:24:27.040102Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210782,"p":"3474.31","q":"2.200","X":"MARKET","m":false}}
2024-07-23T16:24:27.040122Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210783,"p":"3474.31","q":"1.200","X":"MARKET","m":false}}
2024-07-23T16:24:27.040143Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210784,"p":"3474.32","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.040164Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210785,"p":"3474.32","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:24:27.040185Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210786,"p":"3474.33","q":"0.877","X":"MARKET","m":false}}
2024-07-23T16:24:27.040217Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210787,"p":"3474.35","q":"0.050","X":"MARKET","m":false}}
2024-07-23T16:24:27.040249Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210788,"p":"3474.35","q":"2.878","X":"MARKET","m":false}}
2024-07-23T16:24:27.040281Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210789,"p":"3474.36","q":"0.015","X":"MARKET","m":false}}
