2024-07-23T16:32:11.077460Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296479,"p":"3510.99","q":"0.100","X":"MARKET","m":false}}
2024-07-23T16:32:11.077464Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296480,"p":"3510.99","q":"0.400","X":"MARKET","m":false}}
2024-07-23T16:32:11.077468Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296481,"p":"3510.99","q":"1.600","X":"MARKET","m":false}}
2024-07-23T16:32:11.077473Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296482,"p":"3510.99","q":"0.800","X":"MARKET","m":false}}
2024-07-23T16:32:11.077477Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296483,"p":"3511.05","q":"2.000","X":"MARKET","m":false}}
2024-07-23T16:32:11.077485Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296484,"p":"3511.05","q":"1.600","X":"MARKET","m":false}}
2024-07-23T16:32:11.077490Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296485,"p":"3511.06","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:32:11.077510Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296486,"p":"3511.08","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:11.077517Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296487,"p":"3511.10","q":"0.227","X":"MARKET","m":false}}
2024-07-23T16:32:11.077522Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296488,"p":"3511.10","q":"0.203","X":"MARKET","m":false}}
2024-07-23T16:32:11.082842Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531142,"s":"ETHUSDT","t":4229296489,"p":"3511.11","q":"0.009","X":"MARKET","m":false}}
2024-07-23T16:32:11.082886Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531142,"s":"ETHUSDT","t":4229296490,"p":"3511.11","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:11.082918Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531142,"s":"ETHUSDT","t":4229296491,"p":"3511.15","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:32:11.082956Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531142,"s":"ETHUSDT","t":4229296492,"p":"3511.15","q":"0.307","X":"MARKET","m":false}}
2024-07-23T16:32:11.082986Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531143,"s":"ETHUSDT","t":4229296493,"p":"3511.15","q":"1.401","X":"MARKET","m":false}}
2024-07-23T16:32:11.083017Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531143,"s":"ETHUSDT","t":4229296494,"p":"3511.15","q":"0.427","X":"MARKET","m":false}}
2024-07-23T16:32:11.083053Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531143,"s":"ETHUSDT","t":4229296495,"p":"3511.17","q":"0.430","X":"MARKET","m":false}}
2024-07-23T16:32:11.083075Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531143,"s":"ETHUSDT","t":4229296496,"p":"3511.18","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:32:11.083084Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531143,"s":"ETHUSDT","t":4229296497,"p":"3511.21","q":"1.708","X":"MARKET","m":false}}
2024-07-23T16:32:11.083104Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531143,"T":1721723531143,"s":"ETHUSDT","t":4229296498,"p":"3511.23","q":"1.708","X":"MARKET","m":false}}
2024-07-23T16:32:11.090132Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531151,"T":1721723531151,"s":"ETHUSDT","t":4229296499,"p":"3511.23","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:11.090168Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531151,"T":1721723531151,"s":"ETHUSDT","t":4229296500,"p":"3511.24","q":"0.193","X":"MARKET","m":false}}
2024-07-23T16:32:11.091489Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531153,"T":1721723531153,"s":"ETHUSDT","t":4229296501,"p":"3511.23","q":"0.200","X":"MARKET","m":false}}
2024-07-23T16:32:11.093143Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531154,"T":1721723531154,"s":"ETHUSDT","t":4229296502,"p":"3511.23","q":"0.052","X":"MARKET","m":false}}
2024-07-23T16:32:11.094314Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531155,"T":1721723531155,"s":"ETHUSDT","t":4229296503,"p":"3511.23","q":"0.052","X":"MARKET","m":false}}
2024-07-23T16:32:11.109943Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531171,"T":1721723531171,"s":"ETHUSDT","t":4229296504,"p":"3511.22","q":"0.073","X":"MARKET","m":true}}
2024-07-23T16:32:11.111752Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531174,"T":1721723531173,"s":"ETHUSDT","t":4229296505,"p":"3511.23","q":"0.056","X":"MARKET","m":false}}
2024-07-23T16:32:11.162754Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531224,"T":1721723531223,"s":"ETHUSDT","t":4229296506,"p":"3511.23","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:32:11.189876Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531251,"T":1721723531251,"s":"ETHUSDT","t":4229296507,"p":"3511.22","q":"10.000","X":"MARKET","m":true}}
2024-07-23T16:32:11.232147Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531293,"T":1721723531293,"s":"ETHUSDT","t":4229296508,"p":"3511.22","q":"0.007","X":"MARKET","m":true}}
2024-07-23T16:32:11.232187Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531293,"T":1721723531293,"s":"ETHUSDT","t":4229296509,"p":"3511.22","q":"0.007","X":"MARKET","m":true}}
2024-07-23T16:32:11.232207Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531293,"T":1721723531293,"s":"ETHUSDT","t":4229296510,"p":"3511.22","q":"0.312","X":"MARKET","m":true}}
2024-07-23T16:32:11.232226Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531293,"T":1721723531293,"s":"ETHUSDT","t":4229296511,"p":"3511.22","q":"0.010","X":"MARKET","m":true}}
2024-07-23T16:32:11.232257Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531293,"T":1721723531293,"s":"ETHUSDT","t":4229296512,"p":"3511.22","q":"2.292","X":"MARKET","m":true}}
2024-07-23T16:32:11.267734Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531329,"T":1721723531329,"s":"ETHUSDT","t":4229296513,"p":"3511.22","q":"0.708","X":"MARKET","m":true}}
2024-07-23T16:32:11.267767Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531329,"T":1721723531329,"s":"ETHUSDT","t":4229296514,"p":"3511.22","q":"0.292","X":"MARKET","m":true}}
